videoId,title,channelTitle,publishedAt
"BX2JrKiZDTo",미국, 이란 전함 격침 — 테헤란, 보복 천명 #Shorts 🚨,플래시 뉴스 바이트 코리아,2026-03-06T12:05:45Z
"ITD8CjL1vh4",미국 이란 전쟁이 속히 종료 희망 이란국민들 행복하 EP6,시그널 D,2026-03-06T11:58:43Z
"WIABqrvP-c4",🔴LIVE &quot;사거리 2천km 케이바르 미사일 날렸다&quot; 이스라엘 공습 무기 공개..미국 생방송 나온 이란 장관 &quot;지상군 투입은 미국 대재앙&quot; | SBS 실시간 라이브,SBS 뉴스,2026-03-06T11:58:38Z
"lqoYTf5lIR8",야광소녀의 영어공부_26년 3월 미국 이란 전쟁 트럼프 연설4,야광소녀 Neon Girl,2026-03-06T11:57:49Z
"PBvArjN9fGs",이란 도덕경찰에게 죽은 쿠르드족 22세 여성 미국이란 전쟁 원인 EP3,시그널 D,2026-03-06T11:46:57Z
"dyMCH667zQ8",미국 이란 전쟁,황소한마리,2026-03-06T11:37:55Z
"lEjdIYhoVTw",트럼프의 약속, 이란을 겨냥한 쿠르드의 마지막 선택,다른시선,2026-03-06T11:37:22Z
"7SE3NLCESVU",주한미군 무기 1000개 이동… 이란 전쟁 준비였나,더퍼블릭 THE PUBLIC,2026-03-06T11:31:43Z
"CJ8K7x93KFE",전쟁났다고 기뻐하는 사장님??? #주유소 #유가 #미국 #이란 #전쟁 #정치 #경제 #이슈 #사회,랩기표 labkeypyo,2026-03-06T11:13:06Z
"pKPMiyQm3jM",미국 &#39;지하 미사일 기지&#39; 집중 타격 &quot;2백 곳 맹폭&quot;..이란, 2천km 미사일 &#39;텔아비브&#39; 겨냥 - [핫이슈PLAY] MBC뉴스 2024년 03월 06일,MBCNEWS,2026-03-06T11:12:19Z
"t6CtWIgGoZ4",이란 장관, 미국 생방송 나와 &quot;협상은 없다&quot;‥보복 범위도 확대 (2026.03.06/뉴스데스크/MBC),MBCNEWS,2026-03-06T11:07:38Z
"lWLVHFfh0I8",미국 이란 전쟁 전 미군이 준비한 전략자산,머니인사이드 쇼츠,2026-03-06T11:01:18Z
"ZN1TY2jmKwg",터널서 나오는 미사일 족족 타격‥&quot;이란 미사일 발사대 64% 파괴&quot; (2026.03.06/뉴스데스크/MBC),MBCNEWS,2026-03-06T10:57:56Z
"7Mc0-jhPrQ0",미국 &quot;이란산 대신 미국산 석유 사라&quot;…&#39;반격 카드&#39; 준비 중인 중국 [MBN 뉴스7],MBN News,2026-03-06T10:41:52Z
"7WGeUQzGxS8",&#39;하늘의 요새&#39; 출격 트럼프 &quot;항복 아니면 죽음뿐&quot; / #채널A #뉴스TOP10 #shorts,채널A News,2026-03-06T10:17:45Z
"oKH1Wzoawxk",&#39;하늘의 요새&#39; 출격 트럼프 &quot;항복 아니면 죽음뿐&quot; / #채널A #뉴스TOP10 #shorts,채널A 뉴스TOP10,2026-03-06T10:18:58Z
